memset = .init:0x80003100; // type:function size:0x30 scope:global
fn_800490D0 = .text:0x800490D0; // type:function size:0x28
fn_800490F8 = .text:0x800490F8; // type:function size:0x28
fn_80049120 = .text:0x80049120; // type:function size:0x20
fn_80049140 = .text:0x80049140; // type:function size:0x28
fn_80049168 = .text:0x80049168; // type:function size:0x30
fn_80049198 = .text:0x80049198; // type:function size:0xB8
fn_80049250 = .text:0x80049250; // type:function size:0x68
fn_800492B8 = .text:0x800492B8; // type:function size:0x134
fn_800493EC = .text:0x800493EC; // type:function size:0x6C
fn_80049458 = .text:0x80049458; // type:function size:0xFC
fn_80049554 = .text:0x80049554; // type:function size:0xFC
fn_80049650 = .text:0x80049650; // type:function size:0xFC
fn_8004974C = .text:0x8004974C; // type:function size:0xFC
fn_80049848 = .text:0x80049848; // type:function size:0xFC
fn_80049944 = .text:0x80049944; // type:function size:0xFC
fn_80049A40 = .text:0x80049A40; // type:function size:0x38
fn_80049A78 = .text:0x80049A78; // type:function size:0x90
fn_80049B08 = .text:0x80049B08; // type:function size:0x60
fn_80049B68 = .text:0x80049B68; // type:function size:0x34
fn_80049B9C = .text:0x80049B9C; // type:function size:0x44
fn_80049BE0 = .text:0x80049BE0; // type:function size:0x40
fn_80049C20 = .text:0x80049C20; // type:function size:0x64
fn_80049C84 = .text:0x80049C84; // type:function size:0x8C
fn_80049D10 = .text:0x80049D10; // type:function size:0x88
fn_80049D98 = .text:0x80049D98; // type:function size:0x8C
fn_80049E24 = .text:0x80049E24; // type:function size:0xA0
fn_80049EC4 = .text:0x80049EC4; // type:function size:0x108
fn_80049FCC = .text:0x80049FCC; // type:function size:0x88
fn_8004A054 = .text:0x8004A054; // type:function size:0xB8
fn_8004A10C = .text:0x8004A10C; // type:function size:0x24
fn_8004A130 = .text:0x8004A130; // type:function size:0x74
fn_8004A1A4 = .text:0x8004A1A4; // type:function size:0x118
fn_8004A2BC = .text:0x8004A2BC; // type:function size:0x38C
fn_8004A648 = .text:0x8004A648; // type:function size:0x120
fn_8004A768 = .text:0x8004A768; // type:function size:0x68
fn_8004A7D0 = .text:0x8004A7D0; // type:function size:0x20
fn_8004A7F0 = .text:0x8004A7F0; // type:function size:0x11C
fn_8004A90C = .text:0x8004A90C; // type:function size:0x88
fn_8004A994 = .text:0x8004A994; // type:function size:0xC4
fn_8004AA58 = .text:0x8004AA58; // type:function size:0x138
fn_8004AB90 = .text:0x8004AB90; // type:function size:0xA4
fn_8004AC34 = .text:0x8004AC34; // type:function size:0xC0
fn_8004ACF4 = .text:0x8004ACF4; // type:function size:0x9C
fn_8004AD90 = .text:0x8004AD90; // type:function size:0xC0
fn_8004AE50 = .text:0x8004AE50; // type:function size:0xA8
fn_8004AEF8 = .text:0x8004AEF8; // type:function size:0xC8
fn_8004AFC0 = .text:0x8004AFC0; // type:function size:0x210
fn_8004B1D0 = .text:0x8004B1D0; // type:function size:0x6C
fn_8004B23C = .text:0x8004B23C; // type:function size:0x7C
fn_8004B2B8 = .text:0x8004B2B8; // type:function size:0x9C
fn_8004B354 = .text:0x8004B354; // type:function size:0xB0
fn_8004B404 = .text:0x8004B404; // type:function size:0xB0
fn_8004B4B4 = .text:0x8004B4B4; // type:function size:0xC4
fn_8004B578 = .text:0x8004B578; // type:function size:0xB4
fn_8004B62C = .text:0x8004B62C; // type:function size:0xF4
fn_8004B720 = .text:0x8004B720; // type:function size:0xF4
fn_8004B814 = .text:0x8004B814; // type:function size:0xA0
fn_8004B8B4 = .text:0x8004B8B4; // type:function size:0xB4
fn_8004B968 = .text:0x8004B968; // type:function size:0xA0
fn_8004BA08 = .text:0x8004BA08; // type:function size:0xB4
fn_8004BABC = .text:0x8004BABC; // type:function size:0x60
fn_8004BB1C = .text:0x8004BB1C; // type:function size:0x48
fn_8004BB64 = .text:0x8004BB64; // type:function size:0x150
fn_8004BCB4 = .text:0x8004BCB4; // type:function size:0xB4
fn_8004BD68 = .text:0x8004BD68; // type:function size:0xB4
fn_8004BE1C = .text:0x8004BE1C; // type:function size:0xB4
fn_8004BED0 = .text:0x8004BED0; // type:function size:0xB4
fn_8004BF84 = .text:0x8004BF84; // type:function size:0xB4
fn_8004C038 = .text:0x8004C038; // type:function size:0xB4
fn_8004C0EC = .text:0x8004C0EC; // type:function size:0xB4
fn_8004C1A0 = .text:0x8004C1A0; // type:function size:0xB4
fn_8004C254 = .text:0x8004C254; // type:function size:0x60
fn_8004C2B4 = .text:0x8004C2B4; // type:function size:0x108
fn_8004C3BC = .text:0x8004C3BC; // type:function size:0x74
fn_8004C430 = .text:0x8004C430; // type:function size:0x74
fn_8004C4A4 = .text:0x8004C4A4; // type:function size:0x108
fn_8004C5AC = .text:0x8004C5AC; // type:function size:0x108
fn_8004C6B4 = .text:0x8004C6B4; // type:function size:0x108
fn_8004C7BC = .text:0x8004C7BC; // type:function size:0x108
fn_8004C8C4 = .text:0x8004C8C4; // type:function size:0x10C
fn_8004C9D0 = .text:0x8004C9D0; // type:function size:0x108
fn_8004CAD8 = .text:0x8004CAD8; // type:function size:0x108
fn_8004CBE0 = .text:0x8004CBE0; // type:function size:0x108
fn_8004CCE8 = .text:0x8004CCE8; // type:function size:0x74
fn_8004CD5C = .text:0x8004CD5C; // type:function size:0x108
fn_8004CE64 = .text:0x8004CE64; // type:function size:0x108
fn_8004CF6C = .text:0x8004CF6C; // type:function size:0x74
fn_8004CFE0 = .text:0x8004CFE0; // type:function size:0x108
fn_8004D0E8 = .text:0x8004D0E8; // type:function size:0xEC
fn_8004D1D4 = .text:0x8004D1D4; // type:function size:0x74
fn_8004D248 = .text:0x8004D248; // type:function size:0x20C
fn_8004D454 = .text:0x8004D454; // type:function size:0x180
fn_8004D5D4 = .text:0x8004D5D4; // type:function size:0x2D4
fn_8004D8A8 = .text:0x8004D8A8; // type:function size:0x2CC
fn_8004DB74 = .text:0x8004DB74; // type:function size:0xA44
fn_8004E5B8 = .text:0x8004E5B8; // type:function size:0x24
fn_8004E5DC = .text:0x8004E5DC; // type:function size:0x84
fn_8004E660 = .text:0x8004E660; // type:function size:0xE8
fn_8004E748 = .text:0x8004E748; // type:function size:0xC8
fn_8004E810 = .text:0x8004E810; // type:function size:0x188
fn_8004E998 = .text:0x8004E998; // type:function size:0x6A4
fn_8004F03C = .text:0x8004F03C; // type:function size:0x234
fn_8004F270 = .text:0x8004F270; // type:function size:0xCC
fn_8004F33C = .text:0x8004F33C; // type:function size:0x20
fn_8004F35C = .text:0x8004F35C; // type:function size:0x20
fn_8004F37C = .text:0x8004F37C; // type:function size:0x20
fn_8004F39C = .text:0x8004F39C; // type:function size:0x28
fn_8004F3C4 = .text:0x8004F3C4; // type:function size:0x54
fn_8004F418 = .text:0x8004F418; // type:function size:0x3C
fn_8004F454 = .text:0x8004F454; // type:function size:0x15C
fn_8004F5B0 = .text:0x8004F5B0; // type:function size:0x20
fn_8004F5D0 = .text:0x8004F5D0; // type:function size:0x10
fn_8004F5E0 = .text:0x8004F5E0; // type:function size:0x74
fn_8004F654 = .text:0x8004F654; // type:function size:0xC0
fn_8004F714 = .text:0x8004F714; // type:function size:0x68
fn_8004F77C = .text:0x8004F77C; // type:function size:0xC0
fn_8004F83C = .text:0x8004F83C; // type:function size:0x20
fn_8004F85C = .text:0x8004F85C; // type:function size:0x1DC
fn_8004FA38 = .text:0x8004FA38; // type:function size:0x210
fn_8004FC48 = .text:0x8004FC48; // type:function size:0x1E0
fn_8004FE28 = .text:0x8004FE28; // type:function size:0x284
fn_800500AC = .text:0x800500AC; // type:function size:0x244
fn_800502F0 = .text:0x800502F0; // type:function size:0x224
fn_80050514 = .text:0x80050514; // type:function size:0x2D8
fn_800507EC = .text:0x800507EC; // type:function size:0x254
fn_80050A40 = .text:0x80050A40; // type:function size:0x210
fn_80050C50 = .text:0x80050C50; // type:function size:0x258
fn_80050EA8 = .text:0x80050EA8; // type:function size:0x180
fn_80051028 = .text:0x80051028; // type:function size:0xA7C
fn_80051AA4 = .text:0x80051AA4; // type:function size:0x210
fn_80051CB4 = .text:0x80051CB4; // type:function size:0xC8
fn_80051D7C = .text:0x80051D7C; // type:function size:0x20
fn_80051D9C = .text:0x80051D9C; // type:function size:0xA8
fn_80051E44 = .text:0x80051E44; // type:function size:0xA8
fn_80051EEC = .text:0x80051EEC; // type:function size:0xAC
fn_80051F98 = .text:0x80051F98; // type:function size:0x60
fn_80051FF8 = .text:0x80051FF8; // type:function size:0x30
fn_80052028 = .text:0x80052028; // type:function size:0x290
fn_800522B8 = .text:0x800522B8; // type:function size:0x214
fn_800524CC = .text:0x800524CC; // type:function size:0xF0
fn_800525BC = .text:0x800525BC; // type:function size:0x288
fn_80052844 = .text:0x80052844; // type:function size:0xA8
fn_800528EC = .text:0x800528EC; // type:function size:0x4
fn_800528F0 = .text:0x800528F0; // type:function size:0xA8
fn_80052998 = .text:0x80052998; // type:function size:0x4
fn_8005299C = .text:0x8005299C; // type:function size:0x2A4
fn_80052C40 = .text:0x80052C40; // type:function size:0x18
fn_80052C58 = .text:0x80052C58; // type:function size:0x34
fn_80052C8C = .text:0x80052C8C; // type:function size:0x18
fn_80052CA4 = .text:0x80052CA4; // type:function size:0x2A4
fn_80052F48 = .text:0x80052F48; // type:function size:0x34
fn_80052F7C = .text:0x80052F7C; // type:function size:0x3C
fn_80052FB8 = .text:0x80052FB8; // type:function size:0x788
fn_80053740 = .text:0x80053740; // type:function size:0x18
fn_80053758 = .text:0x80053758; // type:function size:0x18
fn_80053770 = .text:0x80053770; // type:function size:0x3C
fn_800537AC = .text:0x800537AC; // type:function size:0x788
fn_80053F34 = .text:0x80053F34; // type:function size:0x3EC
fn_80054320 = .text:0x80054320; // type:function size:0xF4
fn_80054414 = .text:0x80054414; // type:function size:0x168
fn_8005457C = .text:0x8005457C; // type:function size:0x114
fn_80054690 = .text:0x80054690; // type:function size:0x108
fn_80054798 = .text:0x80054798; // type:function size:0x48
fn_800547E0 = .text:0x800547E0; // type:function size:0x124
fn_80054904 = .text:0x80054904; // type:function size:0x9C
fn_800549A0 = .text:0x800549A0; // type:function size:0x30C
fn_80054CAC = .text:0x80054CAC; // type:function size:0x28
fn_80054CD4 = .text:0x80054CD4; // type:function size:0xF0
fn_80054DC4 = .text:0x80054DC4; // type:function size:0x4
fn_80054DC8 = .text:0x80054DC8; // type:function size:0x2F4
fn_800550BC = .text:0x800550BC; // type:function size:0x38
fn_800550F4 = .text:0x800550F4; // type:function size:0x3C
fn_80055130 = .text:0x80055130; // type:function size:0x78
fn_800551A8 = .text:0x800551A8; // type:function size:0x94
fn_8005523C = .text:0x8005523C; // type:function size:0x41C
fn_80055658 = .text:0x80055658; // type:function size:0xAC
fn_80055704 = .text:0x80055704; // type:function size:0x32C
fn_80055A30 = .text:0x80055A30; // type:function size:0x78
fn_80055AA8 = .text:0x80055AA8; // type:function size:0x24
fn_80055ACC = .text:0x80055ACC; // type:function size:0x24
fn_80055AF0 = .text:0x80055AF0; // type:function size:0x124
fn_80055C14 = .text:0x80055C14; // type:function size:0x68
fn_80055C7C = .text:0x80055C7C; // type:function size:0x94
fn_80055D10 = .text:0x80055D10; // type:function size:0x90
fn_80055DA0 = .text:0x80055DA0; // type:function size:0xC
fn_80055DAC = .text:0x80055DAC; // type:function size:0x4C
fn_80055DF8 = .text:0x80055DF8; // type:function size:0x240
fn_80056038 = .text:0x80056038; // type:function size:0x3C
fn_80056074 = .text:0x80056074; // type:function size:0x38
fn_800560AC = .text:0x800560AC; // type:function size:0x80
fn_8005612C = .text:0x8005612C; // type:function size:0x314
fn_80056440 = .text:0x80056440; // type:function size:0x54
fn_80056494 = .text:0x80056494; // type:function size:0x294
fn_80056728 = .text:0x80056728; // type:function size:0x2AC
fn_800569D4 = .text:0x800569D4; // type:function size:0xA8
fn_80056A7C = .text:0x80056A7C; // type:function size:0x66C
fn_800570E8 = .text:0x800570E8; // type:function size:0x7C
fn_80057164 = .text:0x80057164; // type:function size:0x40
fn_800571A4 = .text:0x800571A4; // type:function size:0xF8
fn_8005729C = .text:0x8005729C; // type:function size:0x30
fn_800572CC = .text:0x800572CC; // type:function size:0x14
fn_800572E0 = .text:0x800572E0; // type:function size:0x14
fn_800572F4 = .text:0x800572F4; // type:function size:0x14
fn_80057308 = .text:0x80057308; // type:function size:0x14
fn_8005731C = .text:0x8005731C; // type:function size:0x14C
fn_80057468 = .text:0x80057468; // type:function size:0xAC
fn_80057514 = .text:0x80057514; // type:function size:0x84
fn_80057598 = .text:0x80057598; // type:function size:0x88
fn_80057620 = .text:0x80057620; // type:function size:0x198
fn_800577B8 = .text:0x800577B8; // type:function size:0xE0
fn_80057898 = .text:0x80057898; // type:function size:0x8C
fn_80057924 = .text:0x80057924; // type:function size:0x4C
fn_80057970 = .text:0x80057970; // type:function size:0x12C
fn_80057A9C = .text:0x80057A9C; // type:function size:0x94
fn_80057B30 = .text:0x80057B30; // type:function size:0x10C
fn_80057C3C = .text:0x80057C3C; // type:function size:0xD8
fn_80057D14 = .text:0x80057D14; // type:function size:0x80
fn_80057D94 = .text:0x80057D94; // type:function size:0x388
fn_8005811C = .text:0x8005811C; // type:function size:0x18
fn_80058134 = .text:0x80058134; // type:function size:0xEC
fn_80058220 = .text:0x80058220; // type:function size:0xA8
fn_800582C8 = .text:0x800582C8; // type:function size:0x26C
fn_80058534 = .text:0x80058534; // type:function size:0x18
fn_8005854C = .text:0x8005854C; // type:function size:0x18
fn_80058564 = .text:0x80058564; // type:function size:0x2D0
fn_80058834 = .text:0x80058834; // type:function size:0x18
fn_8005884C = .text:0x8005884C; // type:function size:0xD4
fn_80058920 = .text:0x80058920; // type:function size:0xC4
fn_800589E4 = .text:0x800589E4; // type:function size:0x9C
fn_80058A80 = .text:0x80058A80; // type:function size:0x168
fn_80058BE8 = .text:0x80058BE8; // type:function size:0x234
fn_80058E1C = .text:0x80058E1C; // type:function size:0x44
fn_80058E60 = .text:0x80058E60; // type:function size:0x24
fn_80058E84 = .text:0x80058E84; // type:function size:0x214
fn_80059098 = .text:0x80059098; // type:function size:0x34
fn_800590CC = .text:0x800590CC; // type:function size:0x90
fn_8005915C = .text:0x8005915C; // type:function size:0xCC
fn_80059228 = .text:0x80059228; // type:function size:0x60
fn_80059288 = .text:0x80059288; // type:function size:0xDC
fn_80059364 = .text:0x80059364; // type:function size:0x120
fn_80059484 = .text:0x80059484; // type:function size:0x9C
fn_80059520 = .text:0x80059520; // type:function size:0x108
fn_80059628 = .text:0x80059628; // type:function size:0x8C
fn_800596B4 = .text:0x800596B4; // type:function size:0xE4
fn_80059798 = .text:0x80059798; // type:function size:0x80
fn_80059818 = .text:0x80059818; // type:function size:0x208
fn_80059A20 = .text:0x80059A20; // type:function size:0x2DC
fn_80059CFC = .text:0x80059CFC; // type:function size:0x2C
fn_80059D28 = .text:0x80059D28; // type:function size:0x28
fn_80059D50 = .text:0x80059D50; // type:function size:0x28
fn_80059D78 = .text:0x80059D78; // type:function size:0xA0
fn_80059E18 = .text:0x80059E18; // type:function size:0x24C
fn_8005A064 = .text:0x8005A064; // type:function size:0x1B4
fn_8005A218 = .text:0x8005A218; // type:function size:0x130
fn_8005A348 = .text:0x8005A348; // type:function size:0x94
fn_8005A3DC = .text:0x8005A3DC; // type:function size:0x64
fn_8005A440 = .text:0x8005A440; // type:function size:0x34
fn_8005A474 = .text:0x8005A474; // type:function size:0x13C
fn_8005A5B0 = .text:0x8005A5B0; // type:function size:0x58
fn_8005A608 = .text:0x8005A608; // type:function size:0x58
fn_8005A660 = .text:0x8005A660; // type:function size:0x14C
fn_8005A7AC = .text:0x8005A7AC; // type:function size:0x3D8
fn_8005AB84 = .text:0x8005AB84; // type:function size:0x3D8
fn_8005AF5C = .text:0x8005AF5C; // type:function size:0x4E4
fn_8005B440 = .text:0x8005B440; // type:function size:0x46C
fn_8005B8AC = .text:0x8005B8AC; // type:function size:0x2C
fn_8005B8D8 = .text:0x8005B8D8; // type:function size:0x40
fn_8005B918 = .text:0x8005B918; // type:function size:0xC
fn_8005B924 = .text:0x8005B924; // type:function size:0x10
fn_8005B934 = .text:0x8005B934; // type:function size:0x9C
fn_8005B9D0 = .text:0x8005B9D0; // type:function size:0x48
fn_8005BA18 = .text:0x8005BA18; // type:function size:0x20
fn_8005BA38 = .text:0x8005BA38; // type:function size:0x160
fn_8005BB98 = .text:0x8005BB98; // type:function size:0x130
fn_8005BCC8 = .text:0x8005BCC8; // type:function size:0xC4
fn_8005BD8C = .text:0x8005BD8C; // type:function size:0x104
fn_8005BE90 = .text:0x8005BE90; // type:function size:0x54
fn_8005BEE4 = .text:0x8005BEE4; // type:function size:0x3B4
fn_8005C298 = .text:0x8005C298; // type:function size:0x2EC
fn_8005C584 = .text:0x8005C584; // type:function size:0x110
fn_8005C694 = .text:0x8005C694; // type:function size:0x48
fn_8005C6DC = .text:0x8005C6DC; // type:function size:0x870
fn_8005CF4C = .text:0x8005CF4C; // type:function size:0x108
fn_8005D054 = .text:0x8005D054; // type:function size:0xD8
fn_8005D12C = .text:0x8005D12C; // type:function size:0x84
fn_8005D1B0 = .text:0x8005D1B0; // type:function size:0x80
fn_8005D230 = .text:0x8005D230; // type:function size:0x84
fn_8005D2B4 = .text:0x8005D2B4; // type:function size:0x84
fn_8005D338 = .text:0x8005D338; // type:function size:0x84
fn_8005D3BC = .text:0x8005D3BC; // type:function size:0x84
fn_8005D440 = .text:0x8005D440; // type:function size:0x84
fn_8005D4C4 = .text:0x8005D4C4; // type:function size:0x84
fn_8005D548 = .text:0x8005D548; // type:function size:0x80
fn_8005D5C8 = .text:0x8005D5C8; // type:function size:0x84
fn_8005D64C = .text:0x8005D64C; // type:function size:0x90
fn_8005D6DC = .text:0x8005D6DC; // type:function size:0x188
fn_8005D864 = .text:0x8005D864; // type:function size:0x2BC
fn_8005DB20 = .text:0x8005DB20; // type:function size:0x24
fn_8005DB44 = .text:0x8005DB44; // type:function size:0x54
fn_8005DB98 = .text:0x8005DB98; // type:function size:0x30
fn_8005DBC8 = .text:0x8005DBC8; // type:function size:0x94
fn_8005DC5C = .text:0x8005DC5C; // type:function size:0x90
fn_8005DCEC = .text:0x8005DCEC; // type:function size:0x2C
fn_8005DD18 = .text:0x8005DD18; // type:function size:0x90
fn_8005DDA8 = .text:0x8005DDA8; // type:function size:0x94
fn_8005DE3C = .text:0x8005DE3C; // type:function size:0x94
fn_8005DED0 = .text:0x8005DED0; // type:function size:0x94
fn_8005DF64 = .text:0x8005DF64; // type:function size:0x94
fn_8005DFF8 = .text:0x8005DFF8; // type:function size:0x94
fn_8005E08C = .text:0x8005E08C; // type:function size:0x50
fn_8005E0DC = .text:0x8005E0DC; // type:function size:0x14
fn_8005E0F0 = .text:0x8005E0F0; // type:function size:0x18
fn_8005E108 = .text:0x8005E108; // type:function size:0x7C
fn_8005E184 = .text:0x8005E184; // type:function size:0x24
fn_8005E1A8 = .text:0x8005E1A8; // type:function size:0x1EC
fn_8005E394 = .text:0x8005E394; // type:function size:0x1E0
fn_8005E574 = .text:0x8005E574; // type:function size:0x5C
fn_8005E5D0 = .text:0x8005E5D0; // type:function size:0x80
fn_8005E650 = .text:0x8005E650; // type:function size:0x3C
fn_8005E68C = .text:0x8005E68C; // type:function size:0x3C
fn_8005E6C8 = .text:0x8005E6C8; // type:function size:0x60
fn_8005E728 = .text:0x8005E728; // type:function size:0x60
fn_8005E788 = .text:0x8005E788; // type:function size:0x50
fn_8005E7D8 = .text:0x8005E7D8; // type:function size:0x248
fn_8005EA20 = .text:0x8005EA20; // type:function size:0x140
fn_8005EB60 = .text:0x8005EB60; // type:function size:0x140
fn_8005ECA0 = .text:0x8005ECA0; // type:function size:0x394
fn_8005F034 = .text:0x8005F034; // type:function size:0x3B4
fn_8005F3E8 = .text:0x8005F3E8; // type:function size:0x140
fn_8005F528 = .text:0x8005F528; // type:function size:0x54
fn_8005F57C = .text:0x8005F57C; // type:function size:0x20
fn_8005F59C = .text:0x8005F59C; // type:function size:0x20
fn_8005F5BC = .text:0x8005F5BC; // type:function size:0x44
fn_8005F600 = .text:0x8005F600; // type:function size:0x88
fn_8005F688 = .text:0x8005F688; // type:function size:0x20
fn_8005F6A8 = .text:0x8005F6A8; // type:function size:0x40
fn_8005F6E8 = .text:0x8005F6E8; // type:function size:0x144
fn_8005F82C = .text:0x8005F82C; // type:function size:0x5C
fn_8005F888 = .text:0x8005F888; // type:function size:0xA0
fn_8005F928 = .text:0x8005F928; // type:function size:0x120
fn_8005FA48 = .text:0x8005FA48; // type:function size:0x9C
fn_8005FAE4 = .text:0x8005FAE4; // type:function size:0x80
fn_8005FB64 = .text:0x8005FB64; // type:function size:0x78
fn_8005FBDC = .text:0x8005FBDC; // type:function size:0x2C
fn_8005FC08 = .text:0x8005FC08; // type:function size:0x98
fn_8005FCA0 = .text:0x8005FCA0; // type:function size:0x98
fn_8005FD38 = .text:0x8005FD38; // type:function size:0x64
fn_8005FD9C = .text:0x8005FD9C; // type:function size:0xC8
fn_8005FE64 = .text:0x8005FE64; // type:function size:0x2A8
fn_8006010C = .text:0x8006010C; // type:function size:0x3B0
fn_800604BC = .text:0x800604BC; // type:function size:0xA14
fn_80060ED0 = .text:0x80060ED0; // type:function size:0xD0
fn_80060FA0 = .text:0x80060FA0; // type:function size:0x1C8
fn_80061168 = .text:0x80061168; // type:function size:0x48
fn_800611B0 = .text:0x800611B0; // type:function size:0x74
fn_80061224 = .text:0x80061224; // type:function size:0x284
fn_800614A8 = .text:0x800614A8; // type:function size:0xA8
fn_80061550 = .text:0x80061550; // type:function size:0x28
fn_80061578 = .text:0x80061578; // type:function size:0x28
fn_800615A0 = .text:0x800615A0; // type:function size:0x28
fn_800615C8 = .text:0x800615C8; // type:function size:0x28
fn_800615F0 = .text:0x800615F0; // type:function size:0x30
fn_80061620 = .text:0x80061620; // type:function size:0x38
fn_80061658 = .text:0x80061658; // type:function size:0x38
fn_80061690 = .text:0x80061690; // type:function size:0x38
fn_800616C8 = .text:0x800616C8; // type:function size:0x34
fn_800616FC = .text:0x800616FC; // type:function size:0x38
fn_80061734 = .text:0x80061734; // type:function size:0x38
fn_8006176C = .text:0x8006176C; // type:function size:0x30
fn_8006179C = .text:0x8006179C; // type:function size:0x30
fn_800617CC = .text:0x800617CC; // type:function size:0x30
fn_800617FC = .text:0x800617FC; // type:function size:0x38
fn_80061834 = .text:0x80061834; // type:function size:0x4C
fn_80061880 = .text:0x80061880; // type:function size:0x1C4
fn_80061A44 = .text:0x80061A44; // type:function size:0x44
fn_80061A88 = .text:0x80061A88; // type:function size:0x44
fn_80061ACC = .text:0x80061ACC; // type:function size:0x3C
fn_80061B08 = .text:0x80061B08; // type:function size:0x3C
fn_80061B44 = .text:0x80061B44; // type:function size:0x5C
fn_80061BA0 = .text:0x80061BA0; // type:function size:0x5C
fn_80061BFC = .text:0x80061BFC; // type:function size:0x1F4
fn_80061DF0 = .text:0x80061DF0; // type:function size:0x8C
fn_80061E7C = .text:0x80061E7C; // type:function size:0x188
fn_80062004 = .text:0x80062004; // type:function size:0xE4
fn_800620E8 = .text:0x800620E8; // type:function size:0x4C
fn_80062134 = .text:0x80062134; // type:function size:0x14
fn_80062148 = .text:0x80062148; // type:function size:0x14
fn_8006215C = .text:0x8006215C; // type:function size:0x290
fn_800623EC = .text:0x800623EC; // type:function size:0x70
fn_8006245C = .text:0x8006245C; // type:function size:0x10
fn_8006246C = .text:0x8006246C; // type:function size:0xC8
fn_80062534 = .text:0x80062534; // type:function size:0x98
fn_800625CC = .text:0x800625CC; // type:function size:0x94
fn_80062660 = .text:0x80062660; // type:function size:0x214
fn_80062874 = .text:0x80062874; // type:function size:0x14
fn_80062888 = .text:0x80062888; // type:function size:0x18
fn_800628A0 = .text:0x800628A0; // type:function size:0x60
fn_80062900 = .text:0x80062900; // type:function size:0x3C
fn_8006293C = .text:0x8006293C; // type:function size:0x3C
fn_80062978 = .text:0x80062978; // type:function size:0x34
fn_800629AC = .text:0x800629AC; // type:function size:0xBC
fn_80062A68 = .text:0x80062A68; // type:function size:0x18
fn_80062A80 = .text:0x80062A80; // type:function size:0x60
fn_80062AE0 = .text:0x80062AE0; // type:function size:0x3C
fn_80062B1C = .text:0x80062B1C; // type:function size:0x130
fn_80062C4C = .text:0x80062C4C; // type:function size:0x58
fn_80062CA4 = .text:0x80062CA4; // type:function size:0x12C
fn_80062DD0 = .text:0x80062DD0; // type:function size:0x8C
fn_80062E5C = .text:0x80062E5C; // type:function size:0x70
fn_80062ECC = .text:0x80062ECC; // type:function size:0xC8
fn_80062F94 = .text:0x80062F94; // type:function size:0x230
fn_800631C4 = .text:0x800631C4; // type:function size:0x44C
fn_80063610 = .text:0x80063610; // type:function size:0x78
fn_80063688 = .text:0x80063688; // type:function size:0x270
fn_800638F8 = .text:0x800638F8; // type:function size:0x1C8
fn_80063AC0 = .text:0x80063AC0; // type:function size:0x45C
fn_80063F1C = .text:0x80063F1C; // type:function size:0x70
fn_80063F8C = .text:0x80063F8C; // type:function size:0x12C
fn_800640B8 = .text:0x800640B8; // type:function size:0xC4
fn_8006417C = .text:0x8006417C; // type:function size:0x68
fn_800641E4 = .text:0x800641E4; // type:function size:0x108
fn_800642EC = .text:0x800642EC; // type:function size:0x15C
fn_80064448 = .text:0x80064448; // type:function size:0x64
fn_800644AC = .text:0x800644AC; // type:function size:0x2C4
fn_80064770 = .text:0x80064770; // type:function size:0x190
fn_80064900 = .text:0x80064900; // type:function size:0x130
fn_80064A30 = .text:0x80064A30; // type:function size:0x138
fn_80064B68 = .text:0x80064B68; // type:function size:0xB0
fn_80064C18 = .text:0x80064C18; // type:function size:0x94
fn_80064CAC = .text:0x80064CAC; // type:function size:0x84
fn_80064D30 = .text:0x80064D30; // type:function size:0x7C
fn_80064DAC = .text:0x80064DAC; // type:function size:0xDC
fn_80064E88 = .text:0x80064E88; // type:function size:0x1C
fn_80064EA4 = .text:0x80064EA4; // type:function size:0x29C
fn_80065140 = .text:0x80065140; // type:function size:0x2DC
fn_8006541C = .text:0x8006541C; // type:function size:0x24C
fn_80065668 = .text:0x80065668; // type:function size:0x178
fn_800657E0 = .text:0x800657E0; // type:function size:0x2C
fn_8006580C = .text:0x8006580C; // type:function size:0x150
fn_8006595C = .text:0x8006595C; // type:function size:0x124
fn_80065A80 = .text:0x80065A80; // type:function size:0x64
fn_80065AE4 = .text:0x80065AE4; // type:function size:0x5C
fn_80065B40 = .text:0x80065B40; // type:function size:0x3C
fn_80065B7C = .text:0x80065B7C; // type:function size:0x248
fn_80065DC4 = .text:0x80065DC4; // type:function size:0x3C
fn_80065E00 = .text:0x80065E00; // type:function size:0x1FC
fn_80065FFC = .text:0x80065FFC; // type:function size:0x200
fn_800661FC = .text:0x800661FC; // type:function size:0x1FC
fn_800663F8 = .text:0x800663F8; // type:function size:0x200
fn_800665F8 = .text:0x800665F8; // type:function size:0x368
fn_80066960 = .text:0x80066960; // type:function size:0x1D4
fn_80066B34 = .text:0x80066B34; // type:function size:0x1E8
fn_80066D1C = .text:0x80066D1C; // type:function size:0x28
fn_80066D44 = .text:0x80066D44; // type:function size:0x50
fn_80066D94 = .text:0x80066D94; // type:function size:0x64
fn_80066DF8 = .text:0x80066DF8; // type:function size:0x6C
fn_80066E64 = .text:0x80066E64; // type:function size:0x7C
fn_80066EE0 = .text:0x80066EE0; // type:function size:0x7C
fn_80066F5C = .text:0x80066F5C; // type:function size:0xAC
fn_80067008 = .text:0x80067008; // type:function size:0xAC
fn_800670B4 = .text:0x800670B4; // type:function size:0xAC
fn_80067160 = .text:0x80067160; // type:function size:0xAC
fn_8006720C = .text:0x8006720C; // type:function size:0xAC
fn_800672B8 = .text:0x800672B8; // type:function size:0x80
fn_80067338 = .text:0x80067338; // type:function size:0x80
